,Kuntanro,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Ehdokkaan kieli,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto,Arvo/ammatti/tehtava,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa
76,91,PS    ,1,51,FI, , , ,116,108,224,1,2,ylipalomies,0,0,0,0,0,0,0,0,0,0,0,0,0
77,91,PS    ,1,35,FI, , , ,102,163,265,1,2,Technology Specialist,0,0,0,0,0,0,0,0,0,0,0,0,0
78,91,PS    ,1,50,FI, ,1,1,11579,7399,18978,57,1,kansanedustaja,0,0,0,0,0,0,0,0,0,0,0,0,0
79,91,PS    ,2,40,FI, , , ,105,99,204,1,2,"sairaanhoitaja, kasvatustieteen yo",0,0,0,0,0,0,0,0,0,0,0,0,0
80,91,PS    ,1,39,FI, , , ,246,190,436,1,1,"oikeustieteen kandidaatti, kauppatieteiden maisteri","1561,96","967,20",0,0,198,0,"281,23","115,53",0,0,0,0,"1561,96"
81,91,PS    ,1,61,FI, , , ,223,108,331,1,2,"lentokapteeni, varanotaari","7433,00","1220,00",0,0,0,0,"310,00","5903,00",0,0,0,0,"7433,00"
82,91,PS    ,1,53,FI, , , ,204,132,336,1,2,valtiotieteiden maisteri,4218,0,0,0,540,0,960,128,0,407,0,2183,4218
83,91,PS    ,2,56,FI, , ,1,292,200,492,1,1,"HuK, kansanedustajan avustaja",1300,500,0,0,300,0,0,300,0,0,0,200,1300
84,91,PS    ,2,56,FI, , , ,498,291,789,2,1,"asianajaja, varatuomari","2593,60","382,60",0,0,10,0,860,1291,50,0,0,0,"2593,60"
85,91,PS    ,2,38,FI, , , ,345,283,628,2,1,"sotatieteiden maisteri, kansanedustajan avustaja","6836,91","2567,27",0,0,"992,21",0,"1975,49","1095,34",0,0,0,"206,60","6836,91"
86,91,PS    ,1,31,FI, , , ,105,102,207,1,2,"nuorisojÃ¤rjestÃ¶johtaja, yrittÃ¤jÃ¤","9294,17","2346,66",0,0,"490,56",0,"4514,31","1286,64",0,0,0,"656,00","9294,17"
87,91,PS    ,1,51,FI, ,1, ,265,219,484,1,1,"kansanedustaja, komisario",0,0,0,0,0,0,0,0,0,0,0,0,0
88,91,PS    ,1,60,FI, , , ,236,167,403,1,2,"lÃ¤Ã¤kintÃ¶neuvos, dosentti",3300,0,1600,0,0,1700,0,0,0,0,0,0,3300
89,91,PS    ,1,59,FI, , ,1,520,375,895,3,1,"rikosylikonstaapeli, erityisasiantuntija","5043,90","4353,00",0,0,0,0,"690,90",0,0,0,0,0,"5043,90"
90,91,PS    ,2,45,FI, ,1,1,677,436,1113,3,1,"kansanedustaja, ensihoitaja","3627,48","2604,28",0,0,0,0,"773,19","250,01",0,0,0,0,"3627,48"
91,91,PS    ,2,64,FI, , , ,345,241,586,2,1,"varanotaari, toimittaja","3982,84","3572,84",0,0,0,0,"310,00",0,0,0,0,"100,00","3982,84"
92,91,PS    ,1,50,FI, , , ,136,122,258,1,2,"yrittÃ¤jÃ¤, varavaltuutettu","5200,57","2821,57",0,0,"510,88",0,365,"1473,12",30,0,0,0,"5200,57"
93,91,PS    ,1,48,FI, , , ,165,85,250,1,2,pÃ¤Ã¤toimittaja,910,0,0,0,0,0,910,0,0,0,0,0,910
94,91,VAS   ,1,44,FI, ,1,1,2562,1800,4362,13,1,"kansanedustaja, kaupunginvaltuutettu","14330,85","1417,76",0,0,"1055,88",0,7619,"1547,40","55,80",0,0,"2635,01","14330,85"
95,91,VAS   ,2,35,SV, , , ,1107,565,1672,5,1,"pÃ¤Ã¤sihteeri, politices magister","6736,05","863,79",0,0,"672,34",0,2677,"784,92",620,560,0,558,"6736,05"
96,91,VAS   ,2,39,FI, , , ,410,236,646,2,2,"tohtori, sosiaalityÃ¶ntekijÃ¤",3430,78,0,0,0,670,1736,389,100,241,216,0,3430
97,91,VAS   ,2,28,FI, , , ,657,313,970,3,1,"opiskelija, valtiotieteiden kandidaatti","3720,74","494,80",0,0,790,0,897,"1161,80","273,46",0,0,"103,68","3720,74"
98,91,VAS   ,2,45,FI, ,1,1,2043,985,3028,9,1,"kansanedustaja, nuorisotutkija","5478,60","468,64",0,0,"167,03",0,3666,"672,08",0,0,0,"504,85","5478,60"
99,91,VAS   ,2,42,FI, , , ,286,150,436,1,2,"projektipÃ¤Ã¤llikkÃ¶, energia-asiantuntija","4584,54","781,20",0,0,"1620,28",0,897,"727,26","558,80",0,0,0,"4584,54"
100,91,VAS   ,2,41,FI, , , ,701,369,1070,3,1,"kouluttaja, yrittÃ¤jÃ¤","2410,82",0,0,0,250,"189,04",818,"771,6",0,"185,49",0,"196,69","2422,4"
101,91,VAS   ,2,38,FI, ,1,1,1206,681,1887,6,1,"kansanedustaja, kaupunginvaltuutettu","6280,36",0,0,0,"2104,76",0,3267,"328,6",0,580,0,0,"6280,36"
102,91,VAS   ,2,27,FI, , , ,426,243,669,2,2,"ympÃ¤ristÃ¶poliittinen asiantuntija, oikeustieteen opiskelija","4419,38",0,0,0,"738,13","459,59",1329,"1142,66",750,0,0,0,"4419,38"
103,91,VAS   ,1,36,FI, , ,1,432,338,770,2,2,filosofian ja elÃ¤mÃ¤nkatsomustiedon opettaja,2397,0,0,0,94,0,0,415,572,1316,0,0,2397
104,91,VAS   ,2,33,FI, , , ,3986,1626,5612,17,1,"musiikin maisteri, yhteiskuntatieteiden maisteri","5227,26",0,"1004,40",0,"2768,84","57,12",552,829,0,0,0,"15,90","5227,26"
105,91,VAS   ,2,35,FI, , , ,303,171,474,1,2,arkkitehti,7645,260,0,0,555,0,4311,1219,800,0,0,500,7645
106,91,VAS   ,2,26,FI, , , ,403,187,590,2,2,"Vasemmisto-opiskelijoiden puheenjohtaja, eduskuntaryhmÃ¤n avustaja","7865,33","804,64",0,0,"1742,71","1240,00","2527,50","1277,68",0,0,"272,80",0,"7865,33"
107,91,VAS   ,2,23,98, , , ,491,249,740,2,2,"jÃ¤rjestÃ¶koordinaattori, taiteilija",0,0,0,0,0,0,0,0,0,0,0,0,0
108,91,VAS   ,2,40,FI, , ,1,616,364,980,3,1,"kaupunginvaltuutettu, sosiaalialan yliopisto-opettaja","6051,12",1705,0,0,"919,69",0,876,1572,"855,80",0,"122,63",0,"6051,12"
109,91,VAS   ,1,40,FI, , ,1,436,377,813,2,1,"kaupunginvaltuutettu, nuoriso- ja kulttuurityÃ¶ntekijÃ¤",0,0,0,0,0,0,0,0,0,0,0,0,0
110,91,VAS   ,1,61,FI, , , ,509,312,821,2,1,"kirjoittaja, suomentaja",0,0,0,0,0,0,0,0,0,0,0,0,0
111,91,VAS   ,1,28,98, , ,1,1031,618,1649,5,1,"kaupunginvaltuutettu, yhteisÃ¶tyÃ¶ntekijÃ¤","3176,23",0,"777,48",0,"1319,99",0,"72,00","282,20",0,"224,30",0,"500,26","3272,20"
112,91,VAS   ,2,40,FI, , , ,346,231,577,2,2,"toimittaja, kirjailija","6456,83",145,1240,0,"1059,14",0,1261,2160,"591,69",0,0,0,"6456,83"
113,91,VAS   ,2,44,FI, , ,1,453,199,652,2,2,"koulupsykologi, kaupunginvaltuutettu","5371,36","535,65",0,0,"2607,87",238,1420,480,0,0,0,"89,84","5371,36"
114,91,VAS   ,1,28,FI, , , ,273,179,452,1,2,"agentti, musiikkialan yrittÃ¤jÃ¤",0,0,0,0,0,0,0,0,0,0,0,0,0
115,91,VAS   ,2,55,98, , , ,359,78,437,1,2,lastenhoitaja,0,0,0,0,0,0,0,0,0,0,0,0,0
116,91,RKP   ,2,60,SV, ,1,1,2083,1058,3141,9,1,"riksdagsledamot, kansanedustaja",25145,"15240,91",0,0,2207,0,0,4038,2000,0,0,"1659,09",25145
117,91,RKP   ,2,36,SV, , ,1,837,417,1254,4,1,"ministers specialmedarbetare, pol.mag., ministerin erityisavustaja, VTM","14652,22","11200,37",0,0,"383,50",0,"259,16","678,35","1430,84",0,0,700,"14652,22"
118,91,RKP   ,2,77,SV, , , ,331,141,472,1,2,"erikoislÃ¤Ã¤kÃ¤ri, speciallÃ¤kare","7352,08","7226,84",0,0,0,0,0,"125,24",0,0,0,0,"7352,08"
119,91,RKP   ,2,44,SV, , , ,663,427,1090,3,1,"Ã¶verlÃ¤kare, ylilÃ¤Ã¤kÃ¤ri","9811,09",6510,0,0,0,"125,50","2855,79","319,80",0,0,0,0,"9811,09"
120,91,RKP   ,1,36,SV, , , ,567,54,621,2,2,"yrittÃ¤jÃ¤, fÃ¶retagare, MBA",5950,0,0,0,0,800,600,2400,1300,550,0,300,5950
121,91,RKP   ,1,68,SV, , ,1,1196,478,1674,5,1,"stadsfullmÃ¤ktigeledamot, kaupunginvaltuutettu","8106,93","6401,86",0,0,"439,19",0,0,"860,88",405,0,0,0,"8206,87"
122,91,RKP   ,1,49,FI, , ,1,398,450,848,3,2,"ydinfysiikan tohtori, kaupunginvaltuutettu, doktor i kÃ¤rnfysik, fullmÃ¤ktigeledamot",21200,3700,2000,0,0,12700,0,800,2000,0,0,0,21200
123,91,RKP   ,1,43,SV, , ,1,1783,768,2551,8,1,"pol.mag., fÃ¶retagare, VTM, yrittÃ¤jÃ¤","33981,67","25082,62",0,0,"1813,07","2871,24",0,"1247,17","815,67",450,"1701,90",0,"33981,67"
124,91,RKP   ,2,56,98, , , ,551,86,637,2,2,"HR-professional, VTM, pol.mag.",8200,0,0,0,2500,1500,0,0,0,4200,0,0,8200
125,91,RKP   ,1,75,SV,1, , ,387,196,583,2,2,"Europaparlamentariker, europarlamentaarikko","3790,96","1960,96",0,0,0,0,"1830,00",0,0,0,0,0,"3900,00"
126,91,VIHR  ,2,53,FI, , , ,278,177,455,1,2,"suomen kielen yliopistonlehtori, dosentti","7667,69","2012,94",0,0,"1252,75",0,2440,1319,643,0,0,0,"7667,69"
127,91,VIHR  ,2,28,FI,1, ,1,2085,1182,3267,10,1,"europarlamentaarikko, kaupunginvaltuutettu",2128,115,0,0,0,258,1190,565,0,0,0,0,2128
128,91,VIHR  ,2,54,FI, ,1, ,994,552,1546,5,1,"kansanedustaja, filosofian tohtori","4095,36",800,0,0,430,0,"1880,00","835,36",0,0,0,"150,00","4095,36"
129,91,VIHR  ,2,28,FI, , , ,294,180,474,1,2,"tutkija, yhteiskuntatieteiden maisteri",0,0,0,0,0,0,0,0,0,0,0,0,0
