,Kuntanro,Puolue,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto
41,186,'YL J','860','358',0,0,0,0,0,'502',0,0,0,0,'860',YL JP ,1,60, ,,1.0,47,98,145,9,1
42,186,'KOK',"'1699,75'","'1624,75'",0,0,0,0,0,'75',0,0,0,0,"'1699,75'",KOK   ,1,59, ,,1.0,36,47,83,5,2
43,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,60, ,,1.0,31,48,79,5,2
44,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,45, ,,,15,43,58,3,2
45,186,'KOK',"'637,8'","'507,8'",0,0,'55',0,0,0,0,0,0,'75',"'637,8'",KOK   ,1,60, ,,,22,41,63,4,2
46,186,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,2,45, ,,,17,44,61,4,2
47,186,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,49, ,,,42,41,83,5,2
48,186,'VIHR','898','746',0,0,0,'50',0,'102',0,0,0,0,'898',VIHR  ,2,57, ,,1.0,52,126,178,11,1
49,186,'VIHR','403','20',0,0,'109',0,0,'143','100',0,0,'31','403',VIHR  ,2,35, ,,,40,144,184,11,1
50,186,'KOK',"'435,91'",0,0,0,"'47,26'",0,0,"'278,80'","'34,85'",0,0,"'75,00'","'435,91'",KOK   ,2,35, ,,1.0,30,97,127,8,1
51,186,'VIHR','848','746',0,0,0,0,0,'102',0,0,0,0,'848',VIHR  ,1,67, ,,1.0,59,61,120,7,1
52,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,1,27, ,,,19,46,65,4,2
53,186,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,41, ,,1.0,34,135,169,10,1
54,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,47, ,,1.0,78,103,181,11,1
55,186,'SDP','1290','690',0,0,0,0,0,'400',0,'200',0,0,'1290',SDP   ,1,63, ,,,43,44,87,5,2
56,186,'VIHR',"'876,26'","'694,26'",0,0,0,0,0,"'137,00'",0,0,0,"'45,00'","'876,26'",VIHR  ,1,19, ,,,21,45,66,4,2
57,186,'KOK','270','160',0,0,'90',0,0,'20',0,0,0,0,'270',KOK   ,2,38, ,,,32,61,93,5,2
