,Kuntanro,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Ehdokkaan kieli,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto,Arvo/ammatti/tehtava,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa
0,91,FP    ,2,42,FI, , , ,519,1038,1557,5,1,"Feministisen puolueen puheenjohtaja, graafinen suunnittelija",1119,0,0,0,171,108,0,220,0,514,0,106,1164
1,91,FP    ,2,30,FI, , , ,161,259,420,1,2,"vapaaehtoistyÃ¶ntekijÃ¤, mielenterveyskuntoutuja",0,0,0,0,0,0,0,0,0,0,0,0,0
2,91,FP    ,2,28,FI, , , ,110,197,307,1,2,"FM, jatko-opiskelija",200,0,0,0,0,30,0,170,0,0,0,0,200
3,91,KOK   ,1,52,FI, , , ,14113,15632,29745,91,1,"OTK, varapÃ¤Ã¤johtaja","61655,32","36882,42",0,0,"3075,20","7629,57",0,"3905,80","4885,60","2582,86",0,"2693,87","61655,32"
4,91,KOK   ,2,26,FI, , , ,139,345,484,1,2,"hoivapalvelukoordinaattori, estenomi (AMK)","3449,78",20,0,0,"98,79","146,40","607,77","428,44",500,"277,99",0,"1370,39","3449,78"
5,91,KOK   ,1,44,98, , , ,368,130,498,2,2,tiiminvetÃ¤jÃ¤,2300,1100,0,0,0,0,0,600,0,0,0,600,2300
6,91,KOK   ,1,24,FI, , , ,178,241,419,1,2,"SYL:n varapuheenjohtaja, oikeustieteen ylioppilas",2900,0,0,0,850,0,0,1200,0,600,0,250,2900
7,91,KOK   ,1,30,SV, , , ,195,454,649,2,1,"lakimies, tyÃ¶markkina- ja yhteiskuntapolitiikan asiamies","17746,62","4350,80",0,0,"6045,24",0,"639,50","2291,08",4120,0,0,300,"17746,62"
8,91,KOK   ,2,77,FI, , ,1,797,489,1286,4,1,"professori, kaupunginvaltuutettu",5375,2765,0,0,0,424,0,1672,0,514,0,0,5375
9,91,KOK   ,1,72,SV, , ,1,579,874,1453,4,1,"valtuuston varapuheenjohtaja, VTM","19640,49","8070,08",0,0,0,"581,56","10443,25",0,"545,60",0,0,0,"19640,49"
10,91,KOK   ,1,73,FI, , ,1,209,334,543,2,2,"VN, kaupunginvaltuutettu","3670,06","1944,92",0,0,"60,00",0,"100,00","892,80",0,"39,00",0,"633,34","3670,06"
11,91,KOK   ,1,33,FI, , , ,151,362,513,2,2,"koodari, insinÃ¶Ã¶ri (AMK)","10037,51",0,0,0,"2267,90",0,"5573,41","1699,33",248,0,0,"248,87","10037,51"
12,91,KOK   ,1,49,FI, , ,1,622,767,1389,4,1,"ylikomisario, kaupunginvaltuutettu","15749,11","9260,60",0,0,"120,00",0,"4404,95","480,00",0,"317,00","866,56",300,"15749,11"
13,91,KOK   ,2,54,FI, , , ,163,316,479,1,2,"toimitusjohtaja, KTM","7232,11","5826,73",0,0,0,0,0,"495,00","248,00",0,0,"662,38","7232,11"
14,91,KOK   ,1,27,SV, , , ,278,986,1264,4,1,yrittÃ¤jÃ¤,"16188,99","8287,19",0,0,"5099,40",0,0,"1016,8",0,0,0,"1785,60","16188,99"
15,91,KOK   ,1,54,FI, , , ,157,425,582,2,2,"toimitusjohtaja, bloggari",1800,400,0,0,1000,0,0,400,0,0,0,0,1800
16,91,KOK   ,2,46,FI, , , ,103,279,382,1,2,"VTM, toiminnanjohtaja","4555,67","1556,34",0,0,"94,87",0,0,"835,69","1534,87","533,90",0,0,"4555,67"
17,91,KOK   ,2,60,FI, , , ,214,253,467,1,2,"ylilÃ¤Ã¤kÃ¤ri, geriatrian erikoislÃ¤Ã¤kÃ¤ri",2900,830,0,0,0,0,0,716,0,132,0,1222,2900
18,91,KOK   ,2,50,FI, , , ,141,248,389,1,2,"KTM, toimitusjohtaja","3196,31","150,00",0,0,"15,00",0,0,"1462,70",0,"220,48",0,"1348,13","3196,31"
19,91,KOK   ,1,38,FI, , , ,363,784,1147,4,1,"sotatieteiden maisteri, kapteeni evp.",6946,200,0,0,750,0,90,3238,820,0,0,1848,6946
20,91,KOK   ,2,62,FI, , ,1,941,1060,2001,6,1,"kaupunginvaltuutettu, fysioterapiayrittÃ¤jÃ¤","33954,02","22676,94",0,0,0,0,5211,"5880,08",186,0,0,0,"33954,02"
21,91,KOK   ,1,52,FI, , , ,199,425,624,2,2,"KTM, yrittÃ¤jÃ¤","9242,31","3816,04",0,0,"237,92",0,0,"3666,08","1372,27",150,0,0,"9242,31"
22,91,KOK   ,1,77,FI, , ,1,286,356,642,2,1,"DI, kaupunginvaltuutettu",9445,4586,0,0,0,0,0,2261,1000,0,0,1598,9445
23,91,KOK   ,2,46,FI, , ,1,1138,2504,3642,11,1,"valtiotieteiden maisteri, kaupunginvaltuutettu","12579,66","4566,75",0,0,"27,31",0,"7985,6",0,0,0,0,0,"12579,66"
